machine_id,cycle,day,day_in_cycle,temperature,vibration,rpm,load,service_flag,failure_event
1,1,80,80,72.02,0.0885,1447.6,78.3,0,0
1,1,81,81,71.88,0.08,1450.3,76.5,0,0
1,1,82,82,70.32,0.0722,1443.9,53.9,0,0
1,1,83,83,71.15,0.0755,1451.0,63.3,0,0
1,1,84,84,72.69,0.0711,1447.2,80.3,0,0
1,1,85,85,72.06,0.075,1446.3,71.1,0,0
1,1,86,86,70.91,0.0741,1447.2,54.5,0,0
1,1,87,87,75.53,0.092,1447.2,92.9,0,0
1,1,88,88,71.47,0.0687,1446.1,71.4,0,0
1,1,89,89,68.9,0.0888,1453.1,41.9,0,0
1,1,90,90,70.15,0.0901,1452.0,75.8,0,0
1,1,91,91,77.44,0.1123,1444.0,95.7,0,0
1,1,92,92,75.67,0.1005,1444.0,91.1,0,0
1,1,93,93,74.49,0.0875,1447.3,88.9,0,0
1,1,94,94,76.75,0.1043,1451.0,98.0,0,0
1,1,95,95,72.65,0.0788,1445.8,81.0,0,0
1,1,96,96,79.72,0.0842,1442.1,59.5,0,0
1,1,97,97,70.33,0.0703,1449.4,47.0,0,0
1,1,98,98,70.48,0.0879,1447.1,65.4,0,0
1,1,99,99,73.64,0.1225,1447.0,81.5,0,0
1,1,100,100,71.0,0.0778,1448.1,68.4,0,0
1,1,101,101,74.2,0.0839,1448.6,82.1,0,0
1,1,102,102,72.32,0.0684,1449.3,72.2,0,0
1,1,103,103,71.26,0.0652,1443.3,64.3,0,0
1,1,104,104,70.9,0.0667,1445.5,55.1,0,0
1,1,105,105,72.96,0.1133,1447.8,80.9,0,0
1,1,106,106,75.02,0.1097,1446.4,89.3,0,0
1,1,107,107,74.12,0.083,1446.4,82.2,0,0
1,1,108,108,74.06,0.1021,1447.6,84.3,0,0
1,1,109,109,72.54,0.0982,1443.8,79.8,0,0
1,1,110,110,71.0,0.0714,1446.2,58.1,0,0
1,1,111,111,70.01,0.0474,1446.7,53.7,0,0
1,1,112,112,75.13,0.0934,1447.8,84.5,0,0
1,1,113,113,72.18,0.0796,1449.4,77.0,0,0
1,1,114,114,71.4,0.0833,1444.5,73.2,0,0
1,1,115,115,70.0,0.0835,1447.8,69.5,0,0
1,1,116,116,70.95,0.1055,1444.8,57.9,0,0
1,1,117,117,68.8,0.0817,1447.2,37.4,0,0
1,1,118,118,70.58,0.069,1447.3,50.4,0,0
1,1,119,119,73.75,0.0888,1446.8,86.0,0,0
1,1,120,120,77.72,0.0869,1450.5,98.0,0,0
1,1,121,121,73.72,0.1097,1444.9,87.9,0,0
1,1,122,122,76.38,0.0824,1442.6,90.6,0,0
1,1,123,123,76.08,0.0904,1442.0,98.0,0,0
1,1,124,124,72.08,0.1066,1450.3,79.1,0,0
1,1,125,125,69.83,0.0756,1450.0,47.4,0,0
1,1,126,126,73.69,0.1009,1447.5,83.8,0,0
1,1,127,127,71.55,0.0731,1445.6,72.5,0,0
1,1,128,128,70.8,0.0787,1447.2,60.1,0,0
1,1,129,129,76.33,0.113,1455.2,74.7,0,0
1,1,130,130,72.93,0.0925,1444.2,79.8,0,1
1,1,131,131,74.47,0.102,1449.4,50.0,0,0
1,1,132,132,68.89,0.0743,1444.5,52.0,0,0
1,1,133,133,73.87,0.1206,1439.0,73.8,0,0
1,1,134,134,70.73,0.095,1448.8,73.1,0,0
1,1,135,135,71.21,0.0836,1444.3,72.6,0,0
1,1,136,136,75.49,0.0884,1447.9,75.5,0,0
1,1,137,137,73.67,0.0614,1457.2,68.7,0,0
1,1,138,138,73.32,0.0732,1447.5,45.6,0,0
1,1,139,139,69.93,0.1284,1449.9,60.3,0,0
1,1,140,140,71.88,0.1234,1442.8,74.4,0,0
1,1,141,141,73.51,0.1436,1443.1,85.9,0,0
1,1,142,142,70.23,0.0828,1442.7,69.3,0,0
1,1,143,143,73.78,0.0932,1444.7,81.5,0,0
1,1,144,144,70.95,0.1474,1450.7,67.5,0,0
1,1,145,145,68.46,0.0762,1456.5,35.0,0,0
1,1,146,146,67.95,0.073,1443.3,37.8,0,0
1,1,147,147,73.14,0.0898,1452.1,60.7,0,0
1,1,148,148,70.64,0.1229,1453.2,60.0,0,0
1,1,149,149,73.34,0.0742,1448.1,60.2,0,0
1,1,150,150,75.19,0.1529,1451.5,98.0,0,0
1,1,151,151,71.2,0.0881,1451.9,80.5,0,0
1,1,152,152,71.7,0.1511,1445.5,76.1,0,0
1,1,153,153,69.18,0.1068,1443.6,67.8,0,0
1,1,154,154,70.68,0.0841,1448.9,76.1,0,0
1,1,155,155,69.95,0.1605,1451.9,73.9,0,0
1,1,156,156,70.07,0.1353,1439.5,65.4,0,0
1,1,157,157,72.77,0.1703,1451.2,73.9,0,0
1,1,158,158,69.8,0.14,1446.8,76.8,0,0
1,1,159,159,71.46,0.0996,1446.7,77.4,0,0
1,1,160,160,73.77,0.086,1454.6,53.1,0,0
1,1,161,161,70.47,0.1361,1442.6,75.7,0,0
1,1,162,162,75.53,0.1055,1445.7,75.6,0,0
1,1,163,163,69.5,0.1192,1447.8,73.1,0,0
1,1,164,164,70.95,0.1204,1441.5,71.0,0,0
1,1,165,165,75.5,0.1797,1443.2,98.0,0,0
1,1,166,166,72.05,0.1667,1436.1,80.9,0,0
1,1,167,167,68.68,0.0676,1449.3,52.7,0,0
1,1,168,168,69.04,0.1373,1448.2,66.2,0,0
1,1,169,169,72.02,0.1529,1447.9,72.4,0,0
1,1,170,170,71.7,0.1373,1441.1,67.9,0,0
1,1,171,171,69.51,0.1161,1437.8,73.0,0,0
1,1,172,172,70.29,0.1064,1442.9,68.3,0,0
1,1,173,173,68.65,0.1182,1449.6,45.5,0,0
1,1,174,174,68.6,0.0795,1448.8,56.7,0,0
1,1,175,175,69.03,0.0752,1444.1,63.6,0,0
1,1,176,176,71.23,0.1025,1448.6,80.6,0,0
1,1,177,177,68.02,0.0804,1442.2,66.5,0,0
1,1,178,178,68.79,0.1039,1447.5,68.0,0,0
1,1,179,179,71.88,0.1456,1451.1,46.6,0,0
1,1,180,180,70.4,0.0874,1446.0,74.5,0,0
2,1,1,1,73.95,0.0908,1480.5,86.6,0,0
2,1,2,2,73.02,0.1151,1480.3,83.7,0,0
2,1,3,3,76.67,0.1158,1474.5,98.0,0,0
2,1,4,4,74.21,0.1138,1481.2,90.3,0,0
2,1,5,5,71.2,0.1123,1481.7,61.8,0,0
2,1,6,6,69.74,0.1021,1484.0,47.2,0,0
2,1,7,7,72.37,0.1213,1478.6,78.8,0,0
2,1,8,8,71.62,0.1078,1478.8,63.0,0,0
2,1,9,9,69.99,0.1163,1476.6,62.1,0,0
2,1,10,10,71.11,0.1064,1475.9,65.8,0,0
2,1,11,11,70.59,0.1082,1481.4,70.2,0,0
2,1,12,12,70.25,0.1002,1479.3,45.2,0,0
2,1,13,13,68.37,0.1042,1482.1,42.7,0,0
2,1,14,14,72.93,0.1211,1477.1,75.8,0,0
2,1,15,15,72.57,0.1223,1478.8,80.0,0,0
2,1,16,16,70.94,0.0825,1477.6,49.9,0,0
2,1,17,17,71.62,0.0932,1480.8,59.9,0,0
2,1,18,18,75.77,0.122,1473.8,88.7,0,0
2,1,19,19,72.74,0.1037,1479.9,64.8,0,0
2,1,20,20,70.79,0.0953,1479.9,40.7,0,0
2,1,21,21,72.6,0.1026,1478.5,70.1,0,0
2,1,22,22,71.94,0.1218,1478.5,69.1,0,0
2,1,23,23,73.82,0.1321,1482.3,84.5,0,0
2,1,24,24,70.95,0.0835,1476.4,72.8,0,0
2,1,25,25,71.77,0.1332,1479.1,64.7,0,0
2,1,26,26,69.82,0.0966,1480.9,37.8,0,0
2,1,27,27,73.1,0.0957,1480.6,75.6,0,0
2,1,28,28,72.67,0.1122,1481.8,67.2,0,0
2,1,29,29,76.45,0.1212,1475.3,90.7,0,0
2,1,30,30,74.11,0.1024,1477.9,76.8,0,0
2,1,31,31,77.61,0.1155,1483.0,97.7,0,0
2,1,32,32,76.46,0.1214,1482.8,87.5,0,0
2,1,33,33,71.12,0.1291,1477.9,63.4,0,0
2,1,34,34,71.44,0.123,1481.1,71.9,0,0
2,1,35,35,74.87,0.1225,1480.7,73.2,0,0
2,1,36,36,73.16,0.1175,1477.0,75.5,0,0
2,1,37,37,74.07,0.1123,1479.0,78.3,0,0
2,1,38,38,71.9,0.1078,1476.8,70.6,0,0
2,1,39,39,73.16,0.0979,1475.1,66.0,0,0
2,1,40,40,73.7,0.1101,1478.6,69.2,0,0
2,1,41,41,72.37,0.099,1474.7,54.3,0,0
2,1,42,42,73.21,0.1284,1482.5,69.2,0,0
2,1,43,43,75.17,0.1163,1478.9,80.2,0,0
2,1,44,44,74.01,0.1226,1483.6,78.4,0,0
2,1,45,45,77.5,0.1124,1477.7,81.7,0,0
2,1,46,46,77.15,0.129,1482.5,93.6,0,0
2,1,47,47,72.09,0.1162,1477.0,52.9,0,0
2,1,48,48,72.68,0.1182,1478.6,53.7,0,0
2,1,49,49,74.04,0.0958,1478.6,69.4,0,0
2,1,50,50,73.0,0.1417,1478.1,72.9,0,0
2,1,51,51,74.22,0.0964,1479.1,75.4,0,0
2,1,52,52,79.21,0.12,1478.8,98.0,0,0
2,1,53,53,75.88,0.0969,1476.4,77.8,0,0
2,1,54,54,72.33,0.1169,1479.5,55.3,0,0
2,1,55,55,72.44,0.0927,1475.8,47.6,0,0
2,1,56,56,76.26,0.1127,1476.9,82.9,0,0
2,1,57,57,73.59,0.1316,1481.9,67.9,0,0
2,1,58,58,71.39,0.0793,1480.0,57.0,0,0
2,1,59,59,73.38,0.084,1477.3,68.7,0,0
2,1,60,60,80.42,0.1068,1478.9,98.0,0,0
2,1,61,61,73.17,0.0807,1481.6,60.7,0,0
2,1,62,62,75.43,0.126,1472.6,70.8,0,0
2,1,63,63,78.94,0.1407,1473.8,97.8,0,0
2,1,64,64,76.66,0.1071,1477.8,80.2,0,0
2,1,65,65,74.64,0.112,1481.6,71.1,0,0
2,1,66,66,74.22,0.1067,1479.9,58.8,0,0
2,1,67,67,74.27,0.1169,1479.3,73.0,0,0
2,1,68,68,73.56,0.1015,1481.2,57.6,0,0
2,1,69,69,72.55,0.1133,1479.0,50.7,0,0
2,1,70,70,75.59,0.1081,1483.2,79.7,0,0
2,1,71,71,74.27,0.124,1480.8,60.3,0,0
2,1,72,72,72.82,0.1023,1480.4,62.5,0,0
2,1,73,73,79.94,0.2609,1476.2,98.0,0,1
2,1,74,74,74.85,0.1291,1480.2,71.6,0,0
2,1,75,75,73.62,0.121,1483.1,56.3,0,0
2,1,76,76,72.4,0.0829,1479.0,49.1,0,0
2,1,77,77,73.85,0.096,1479.5,71.3,0,0
2,1,78,78,75.56,0.1178,1477.4,76.7,0,0
2,1,79,79,75.66,0.0895,1479.9,75.7,0,0
2,1,80,80,76.62,0.1077,1482.1,83.1,0,0
2,1,81,81,78.57,0.1323,1475.5,91.1,0,0
2,1,82,82,73.02,0.0933,1474.2,46.0,0,0
2,1,83,83,72.63,0.1147,1475.1,58.0,0,0
2,1,84,84,75.18,0.1137,1476.0,77.6,0,0
2,1,85,85,76.41,0.1275,1480.1,81.9,0,0
2,1,86,86,74.5,0.1121,1478.4,70.8,0,0
2,1,87,87,72.43,0.1156,1473.8,49.1,0,0
2,1,88,88,72.17,0.1062,1480.7,52.5,0,0
2,1,89,89,73.29,0.0959,1481.0,50.8,0,0
2,1,90,90,81.4,0.1204,1474.2,98.0,0,0
2,1,91,91,74.56,0.107,1476.3,76.7,0,0
2,1,92,92,82.02,0.1438,1476.9,96.5,0,0
2,1,93,93,77.32,0.1034,1474.3,83.9,0,0
2,1,94,94,76.87,0.1121,1475.7,87.4,0,0
2,1,95,95,75.52,0.1039,1476.4,73.9,0,0
2,1,96,96,74.58,0.1074,1480.6,60.4,0,0
2,1,97,97,80.01,0.0922,1481.2,58.3,0,0
2,1,98,98,76.66,0.1255,1475.6,80.4,0,0
2,1,99,99,76.99,0.1274,1475.6,86.7,0,0
2,1,100,100,77.69,0.1224,1479.1,90.0,0,0
2,1,101,101,76.25,0.1007,1479.6,77.8,0,0
2,1,102,102,75.45,0.1016,1481.2,69.4,0,0
2,1,103,103,72.9,0.1156,1481.8,55.8,0,0
2,1,104,104,73.3,0.1035,1481.6,62.2,0,0
2,1,105,105,74.49,0.1967,1476.9,67.0,0,0
2,1,106,106,79.93,0.1088,1482.4,78.8,0,0
2,1,107,107,78.44,0.1234,1475.1,91.0,0,0
2,1,108,108,74.39,0.1182,1481.4,61.5,0,0
2,1,109,109,77.45,0.2029,1475.2,81.3,0,0
2,1,110,110,75.02,0.2106,1481.3,78.7,0,0
2,1,111,111,74.92,0.1967,1477.1,58.2,0,0
2,1,112,112,75.52,0.1315,1477.2,73.9,0,0
2,1,113,113,79.66,0.1736,1469.8,98.0,0,0
2,1,114,114,80.5,0.1333,1476.6,69.0,0,0
2,1,115,115,73.42,0.1163,1475.5,36.6,0,0
2,1,116,116,79.43,0.1743,1478.1,60.5,0,0
2,1,117,117,72.9,0.0914,1479.7,42.7,0,0
2,1,118,118,74.89,0.1506,1477.1,38.6,0,0
2,1,119,119,72.9,0.1589,1479.8,44.7,0,0
2,1,120,120,83.26,0.1304,1476.6,98.0,0,0
2,1,121,121,78.5,0.2029,1483.9,64.8,0,0
2,1,122,122,80.68,0.1179,1484.6,98.0,0,0
2,1,123,123,83.64,0.1353,1474.8,92.1,0,0
2,1,124,124,74.88,0.1542,1478.9,63.8,0,0
2,1,125,125,79.14,0.18,1481.0,55.4,0,0
2,1,126,126,79.08,0.1648,1486.7,90.5,0,0
2,1,127,127,75.28,0.0992,1479.5,72.8,0,0
2,1,128,128,78.11,0.1314,1481.8,64.7,0,0
2,1,129,129,75.1,0.1208,1490.6,71.9,0,0
2,1,130,130,78.17,0.1327,1482.2,70.5,0,0
2,1,131,131,73.81,0.1233,1477.7,51.3,0,0
2,1,132,132,73.12,0.1182,1479.2,48.3,0,0
2,1,133,133,79.8,0.1249,1484.7,71.0,0,0
2,1,134,134,74.08,0.118,1481.8,65.4,0,0
2,1,135,135,79.09,0.2353,1475.3,72.0,0,0
2,1,136,136,76.04,0.1348,1479.5,81.4,0,0
2,1,137,137,79.66,0.1383,1483.0,92.3,0,0
2,1,138,138,77.47,0.1404,1477.0,53.1,0,0
2,1,139,139,76.04,0.1548,1483.1,59.2,0,0
2,1,140,140,84.67,0.2253,1480.4,98.0,0,0
2,1,141,141,77.78,0.1177,1477.6,91.1,0,0
2,1,142,142,75.69,0.1328,1482.0,83.4,0,0
2,1,143,143,78.43,0.1903,1475.7,66.1,0,0
2,1,144,144,76.81,0.1375,1476.1,82.5,0,0
2,1,145,145,77.71,0.1494,1477.4,50.8,0,0
2,1,146,146,72.24,0.131,1478.0,37.8,0,0
2,1,147,147,73.15,0.1281,1490.0,57.7,0,0
2,1,148,148,80.91,0.1245,1483.4,57.2,0,0
2,1,149,149,77.91,0.1299,1480.1,52.6,0,0
2,1,150,150,79.72,0.1444,1474.5,98.0,0,0
2,1,151,151,82.66,0.1157,1482.2,92.1,0,0
2,1,152,152,76.8,0.1528,1481.5,81.6,0,0
2,1,153,153,74.08,0.0849,1473.9,63.3,0,0
2,1,154,154,81.32,0.1994,1481.6,87.9,0,0
2,1,155,155,74.23,0.1763,1471.9,75.1,0,0
2,1,156,156,77.26,0.1688,1478.3,56.4,0,0
2,1,157,157,74.32,0.12,1480.6,73.5,0,0
2,1,158,158,78.61,0.1377,1467.6,93.8,0,0
2,1,159,159,72.64,0.105,1478.4,58.8,0,0
2,1,160,160,70.34,0.1702,1481.2,43.4,0,0
2,1,161,161,75.05,0.1528,1478.4,80.6,0,0
2,1,162,162,79.23,0.1827,1478.7,70.8,0,0
2,1,163,163,72.96,0.1365,1478.0,53.3,0,0
2,1,164,164,79.04,0.1318,1482.1,77.8,0,0
2,1,165,165,73.05,0.1722,1471.8,75.0,0,0
2,1,166,166,79.98,0.1311,1479.6,73.0,0,0
2,1,167,167,71.44,0.1809,1478.0,48.7,0,0
2,1,168,168,75.07,0.1665,1481.1,79.7,0,0
2,1,169,169,75.69,0.1689,1477.6,72.4,0,0
2,1,170,170,75.77,0.2286,1479.9,74.4,0,0
2,1,171,171,77.15,0.1927,1492.9,86.8,0,0
2,1,172,172,74.22,0.1617,1471.4,61.1,0,0
2,1,173,173,73.59,0.1257,1474.7,53.1,0,0
2,1,174,174,71.73,0.122,1481.3,35.0,0,0
2,1,175,175,77.98,0.1544,1476.3,67.6,0,0
2,1,176,176,75.3,0.1369,1475.5,43.7,0,0
2,1,177,177,70.68,0.1417,1482.1,58.6,0,0
2,1,178,178,73.32,0.1877,1482.0,54.4,0,0
2,1,179,179,74.78,0.1983,1479.4,53.5,0,0
2,1,180,180,73.62,0.2091,1481.1,67.7,0,0
3,1,1,1,72.34,0.1617,1427.4,98.0,0,0
3,1,2,2,68.25,0.1451,1429.5,81.9,0,0
3,1,3,3,69.45,0.1652,1427.3,82.8,0,0
3,1,4,4,67.4,0.1418,1429.2,64.6,0,0
3,1,5,5,62.65,0.1552,1426.7,51.2,0,0
3,1,6,6,66.85,0.1606,1428.0,68.1,0,0
3,1,7,7,70.4,0.1604,1424.5,88.1,0,0
3,1,8,8,65.72,0.127,1426.6,63.5,0,0
3,1,9,9,66.98,0.1633,1427.1,66.2,0,0
3,1,10,10,66.84,0.1442,1429.6,73.5,0,0
3,1,11,11,68.53,0.1833,1430.3,86.5,0,0
3,1,12,12,65.79,0.1507,1429.4,53.3,0,0
3,1,13,13,66.59,0.1447,1426.6,54.8,0,0
3,1,14,14,70.57,0.1762,1427.3,83.6,0,0
3,1,15,15,70.3,0.1762,1428.5,89.6,0,0
3,1,16,16,67.73,0.1428,1431.6,76.2,0,0
3,1,17,17,67.81,0.1419,1424.7,63.2,0,0
3,1,18,18,72.65,0.1789,1427.6,98.0,0,0
3,1,19,19,64.46,0.157,1423.4,58.1,0,0
3,1,20,20,66.04,0.1442,1428.5,47.3,0,0
3,1,21,21,68.53,0.1637,1425.4,78.8,0,0
3,1,22,22,67.1,0.1089,1423.5,66.6,0,0
3,1,23,23,67.06,0.1741,1423.8,63.2,0,0
3,1,24,24,71.42,0.1645,1422.3,92.0,0,0
3,1,25,25,66.44,0.1392,1423.3,69.1,0,0
3,1,26,26,64.44,0.1476,1429.2,47.3,0,0
3,1,27,27,65.11,0.1303,1425.1,42.8,0,0
3,1,28,28,69.01,0.1689,1426.8,69.4,0,0
3,1,29,29,69.09,0.1561,1425.0,66.0,0,0
3,1,30,30,72.21,0.1545,1425.8,93.7,0,0
3,1,31,31,69.49,0.1846,1426.3,89.2,0,0
3,1,32,32,67.15,0.1423,1428.2,60.5,0,0
3,1,33,33,67.67,0.1504,1430.3,67.3,0,0
3,1,34,34,67.43,0.1519,1425.1,68.6,0,0
3,1,35,35,67.87,0.1614,1430.4,69.5,0,0
3,1,36,36,69.73,0.154,1428.2,73.1,0,0
3,1,37,37,70.95,0.1564,1426.2,86.0,0,0
3,1,38,38,70.2,0.1646,1423.1,85.5,0,0
3,1,39,39,67.48,0.1584,1426.8,62.0,0,0
3,1,40,40,68.26,0.1546,1425.1,57.6,0,0
3,1,41,41,67.32,0.1618,1428.6,53.5,0,0
3,1,42,42,69.58,0.1785,1424.2,77.5,0,0
3,1,43,43,68.18,0.152,1426.5,70.6,0,0
3,1,44,44,67.4,0.1495,1426.9,64.6,0,0
3,1,45,45,69.41,0.1591,1424.4,69.2,0,0
3,1,46,46,66.88,0.1452,1425.6,51.7,0,0
3,1,47,47,68.19,0.1277,1426.4,50.7,0,0
3,1,48,48,66.88,0.1346,1424.6,53.7,0,0
3,1,49,49,69.26,0.1329,1429.4,70.2,0,0
3,1,50,50,73.53,0.1539,1425.2,93.5,0,0
3,1,51,51,68.87,0.1656,1423.2,69.8,0,0
3,1,52,52,68.72,0.169,1426.2,65.6,0,0
3,1,53,53,70.82,0.1397,1425.4,78.8,0,0
3,1,54,54,67.27,0.1559,1425.4,56.9,0,0
3,1,55,55,67.56,0.1736,1426.5,53.9,0,0
3,1,56,56,66.37,0.1484,1426.8,48.9,0,0
3,1,57,57,68.3,0.1398,1427.7,67.7,0,0
3,1,58,58,68.8,0.1591,1424.8,67.1,0,0
3,1,59,59,69.59,0.1637,1430.3,61.6,0,0
3,1,60,60,74.45,0.1762,1423.9,98.0,0,0
3,1,61,61,67.26,0.1362,1424.2,47.6,0,0
3,1,62,62,68.9,0.145,1424.7,65.1,0,0
3,1,63,63,73.12,0.1859,1427.8,93.6,0,0
3,1,64,64,73.44,0.1673,1424.7,92.6,0,0
3,1,65,65,69.08,0.1474,1429.7,63.3,0,0
3,1,66,66,70.67,0.1559,1421.6,84.4,0,0
3,1,67,67,68.23,0.163,1425.9,72.4,0,0
3,1,68,68,68.18,0.147,1425.7,52.8,0,0
3,1,69,69,67.73,0.1467,1427.2,48.7,0,0
3,1,70,70,68.19,0.1455,1424.0,68.1,0,0
3,1,71,71,69.4,0.1613,1428.4,66.4,0,0
3,1,72,72,72.42,0.1669,1426.6,83.5,0,0
3,1,73,73,71.14,0.1734,1427.7,80.4,0,0
3,1,74,74,73.47,0.1758,1423.1,87.8,0,0
3,1,75,75,72.36,0.1515,1429.2,83.1,0,0
3,1,76,76,68.87,0.1331,1422.5,52.5,0,0
3,1,77,77,74.15,0.1678,1422.0,98.0,0,0
3,1,78,78,69.05,0.1574,1428.1,74.6,0,0
3,1,79,79,71.7,0.165,1427.0,84.4,0,0
3,1,80,80,70.99,0.145,1428.5,75.3,0,0
3,1,81,81,70.02,0.2299,1430.2,72.6,0,0
3,1,82,82,68.37,0.164,1428.5,55.1,0,0
3,1,83,83,68.95,0.1411,1424.7,58.1,0,0
3,1,84,84,70.89,0.1493,1427.8,84.4,0,0
3,1,85,85,68.75,0.1526,1425.2,74.4,0,0
3,1,86,86,70.04,0.1686,1424.5,71.6,0,0
3,1,87,87,65.7,0.1335,1428.9,35.0,0,0
3,1,88,88,69.19,0.1318,1430.7,62.8,0,0
3,1,89,89,68.57,0.1303,1421.2,52.4,0,0
3,1,90,90,70.61,0.1567,1422.0,74.3,0,0
3,1,91,91,73.72,0.158,1429.8,92.9,0,0
3,1,92,92,74.67,0.1541,1426.2,92.5,0,0
3,1,93,93,75.39,0.1731,1423.7,95.2,0,0
3,1,94,94,70.82,0.1846,1426.4,80.4,0,0
3,1,95,95,67.69,0.1336,1425.0,55.0,0,0
3,1,96,96,68.3,0.1426,1429.2,51.8,0,0
3,1,97,97,68.83,0.1596,1425.6,71.1,0,0
3,1,98,98,70.78,0.1652,1426.5,75.5,0,0
3,1,99,99,71.36,0.1619,1426.6,85.4,0,0
3,1,100,100,69.02,0.1554,1430.7,70.7,0,0
3,1,101,101,70.7,0.1679,1424.6,81.3,0,0
3,1,102,102,71.59,0.1719,1427.5,82.2,0,0
3,1,103,103,67.29,0.152,1423.4,47.5,0,0
3,1,104,104,67.31,0.1714,1430.5,56.2,0,0
3,1,105,105,72.87,0.1583,1426.4,86.5,0,0
